pmid,title,year,journal,study_type,pmc_id
34341495,Anterior cingulate cortex is necessary for spontaneous opioid withdrawal and withdrawal-induced hyperalgesia in male mice.,2021,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,animal,PMC8429582
34831469,"Enduring Effects of Conditional Brain Serotonin Knockdown, Followed by Recovery, on Adult Rat Neurogenesis and Behavior.",2021,Cells,animal,PMC8618971
34336111,"<i>L. Cucurbita pepo</i> Alleviates Chronic Unpredictable Mild Stress via Modulation of Apoptosis, Neurogenesis, and Gliosis in Rat Hippocampus.",2021,Oxidative medicine and cellular longevity,animal,PMC8289620
34333865,Genistein acts as antidepressant agent against chronic mild stress-induced depression model of rats through augmentation of brain-derived neurotrophic factor.,2021,Brain and behavior,animal,PMC8413810
34285348,Post-traumatic stress symptoms in COVID-19 survivors: a self-report and brain imaging follow-up study.,2021,Molecular psychiatry,human,PMC8290134
34286166,Chronic Pain is Associated With Reduced Sympathetic Nervous System Reactivity During Simple and Complex Walking Tasks: Potential Cerebral Mechanisms.,2021,"Chronic stress (Thousand Oaks, Calif.)",human,PMC8267022
34291854,Glutamate Chemical Exchange Saturation Transfer Imaging and Functional Alterations of Hippocampus in Rat Depression Model: A Pilot Study.,2021,Journal of magnetic resonance imaging : JMRI,animal,
34295224,"Contextual Fear Memory Maintenance Changes Expression of pMAPK, BDNF and IBA-1 in the Pre-limbic Cortex in a Layer-Specific Manner.",2021,Frontiers in neural circuits,animal,PMC8291085
34298958,Stress-Related Dysfunction of Adult Hippocampal Neurogenesis-An Attempt for Understanding Resilience?,2021,International journal of molecular sciences,review,PMC8305135
34299103,"Escitalopram Targets Oxidative Stress, Caspase-3, BDNF and MeCP2 in the Hippocampus and Frontal Cortex of a Rat Model of Depression Induced by Chronic Unpredictable Mild Stress.",2021,International journal of molecular sciences,animal,PMC8304451
34299230,Knockout of NPFFR2 Prevents LPS-Induced Depressive-Like Responses in Mice.,2021,International journal of molecular sciences,animal,PMC8306864
34303744,Structural correlates of trauma-induced hyperarousal in mice.,2021,Progress in neuro-psychopharmacology & biological psychiatry,animal,
33834400,Neurogenesis and Neuroplasticity in Major Depression: Its Therapeutic Implication.,2021,Advances in experimental medicine and biology,review,
34304036,Thalamic volume and fear extinction interact to predict acute posttraumatic stress severity.,2021,Journal of psychiatric research,human,PMC8513112
34834462,"Effective Connectivity between Major Nodes of the Limbic System, Salience and Frontoparietal Networks Differentiates Schizophrenia and Mood Disorders from Healthy Controls.",2021,Journal of personalized medicine,human,PMC8623155
34316005,Resolving heterogeneity in schizophrenia through a novel systems approach to brain structure: individualized structural covariance network analysis.,2021,Molecular psychiatry,human,
34319349,Reinforcement Learning Disruptions in Individuals With Depression and Sensitivity to Symptom Change Following Cognitive Behavioral Therapy.,2021,JAMA psychiatry,human,PMC8319827
34326271,Catalpol enhanced physical exercise-mediated brain functional improvement in post-traumatic stress disorder model via promoting adult hippocampal neurogenesis.,2021,Aging,animal,PMC8351689
34328517,H3K9me2 regulation of BDNF expression in the hippocampus and medial prefrontal cortex is involved in the depressive-like phenotype induced by maternal separation in male rats.,2021,Psychopharmacology,animal,
34328676,Increased functional interaction within frontoparietal network during working memory task in major depressive disorder.,2021,Human brain mapping,human,PMC8519848
34332921,Antidepressant mechanism of catalpol: Involvement of the PI3K/Akt/Nrf2/HO-1 signaling pathway in rat hippocampus.,2021,European journal of pharmacology,animal,
34333555,Neuroimaging correlates and predictors of response to repeated-dose intravenous ketamine in PTSD: preliminary evidence.,2021,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC8580962
34311210,Dysconnectivity of the amygdala and dorsal anterior cingulate cortex in drug-naive post-traumatic stress disorder.,2021,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,human,
34384996,Amygdala substructure volumes in Major Depressive Disorder.,2021,NeuroImage. Clinical,human,PMC8361319
34839360,Data-driven analysis of kappa opioid receptor binding in major depressive disorder measured by positron emission tomography.,2021,Translational psychiatry,human,PMC8627509
34385814,Network Pharmacology and Experimental Evidence: PI3K/AKT Signaling Pathway is Involved in the Antidepressive Roles of Chaihu Shugan San.,2021,"Drug design, development and therapy",animal,PMC8353879
34455011,WS6 Induces Adult Hippocampal Neurogenesis in Correlation to its Antidepressant Effect on the Alleviation of Depressive-like Behaviors of Rats.,2021,Neuroscience,animal,
34455213,Effects of intranasal oxytocin on threat- and reward-related functional connectivity in men and women with and without childhood abuse-related PTSD.,2021,Psychiatry research. Neuroimaging,human,PMC8572525
34461430,Six-week oral ketamine treatment for chronic suicidality is associated with increased grey matter volume.,2021,Psychiatry research. Neuroimaging,human,
34464600,Hippocampal and rostral anterior cingulate blood flow is associated with affective symptoms in chronic traumatic brain injury.,2021,Brain research,human,PMC8490292
34464746,Short and long-term effects of single and multiple sessions of electroconvulsive therapy on brain gray matter volumes.,2021,Brain stimulation,human,
34472449,Exercise-induced increases of corticosterone contribute to exercise-enhanced adult hippocampal neurogenesis in mice.,2021,The Chinese journal of physiology,animal,
34800664,Resting-state brain activity can predict target-independent aptitude in fMRI-neurofeedback training.,2021,NeuroImage,human,
34474133,"The role of AQP4 in the pathogenesis of depression, and possible related mechanisms.",2021,"Brain, behavior, and immunity",review,
34453945,Agomelatine attenuates alcohol craving and withdrawal symptoms by modulating the Notch1 signaling pathway in rats.,2021,Life sciences,animal,
34476464,Problem-solving therapy-induced amygdala engagement mediates lifestyle behavior change in obesity with comorbid depression: a randomized proof-of-mechanism trial.,2021,The American journal of clinical nutrition,human,PMC8634561
34798541,Are all threats equal? Associations of childhood exposure to physical attack versus threatened violence with preadolescent brain structure.,2021,Developmental cognitive neuroscience,human,PMC8605265
34480014,miR-98-5p plays a critical role in depression and antidepressant effect of ketamine.,2021,Translational psychiatry,animal,PMC8417029
34789181,Effect of medication therapy combined with transcranial direct current stimulation on depression and response inhibition of patients with bipolar disorder type I: a clinical trial.,2021,BMC psychiatry,human,PMC8596350
34481787,Beneficial effects of Dendrobium nobile Lindl. Alkaloids (DNLA) on anxiety and depression induced by chronic unpredictable stress in rats.,2021,Brain research,animal,
34482419,MiR-129-5p prevents depressive-like behaviors by targeting MAPK1 to suppress inflammation.,2021,Experimental brain research,animal,
34482554,Externalizing behavior in healthy young adults is associated with lower cortisol responses to acute stress and altered neural activation in the dorsal striatum.,2021,Psychophysiology,human,
34485797,Chronic Stress Weakens Connectivity in the Prefrontal Cortex: Architectural and Molecular Changes.,2021,"Chronic stress (Thousand Oaks, Calif.)",review,PMC8408896
34487773,Cross-fostering alleviates depression-like behavior mediated by EAAT2 and SNARE complex in prenatal stress offspring rat.,2021,"Pharmacology, biochemistry, and behavior",animal,
34480013,Neural correlates of emotional reactivity and regulation in traumatized North Korean refugees.,2021,Translational psychiatry,human,PMC8417257
34274373,Heart failure impairs mood and memory in male rats and down-regulates the expression of numerous genes important for synaptic plasticity in related brain regions.,2021,Behavioural brain research,animal,PMC9488982
34440859,"Electroconvulsive Shock, but Not Transcranial Magnetic Stimulation, Transiently Elevates Cell Proliferation in the Adult Mouse Hippocampus.",2021,Cells,animal,PMC8391684
34433031,Disrupting phosphorylation of Tyr-1070 at GluN2B selectively produces resilience to depression-like behaviors.,2021,Cell reports,animal,
34388482,"Systematic transdiagnostic review of magnetic-resonance imaging results: Depression, anxiety disorders and their co-occurrence.",2021,Journal of psychiatric research,review,
34389113,The neuroscience of emotional disorders.,2021,Handbook of clinical neurology,review,
34394855,Does trauma-focused psychotherapy change the brain? A systematic review of neural correlates of therapeutic gains in PTSD.,2021,European journal of psychotraumatology,meta_analysis,PMC8354020
34398163,Individualized rTMS Treatment for Depression using an fMRI-Based Targeting Method.,2021,Journal of visualized experiments : JoVE,human,
34400287,The accentuation in post-traumatic stress disorder-like symptoms induced by diabetes in rats is not associated with a further increase in astrocyte activation in the hippocampus.,2021,Neuroscience letters,animal,
34400379,A connectomic analysis of deep brain stimulation for treatment-resistant depression.,2021,Brain stimulation,human,
34407623,Differential Patterns of Delayed Emotion Circuit Maturation in Abused Girls With and Without Internalizing Psychopathology.,2021,The American journal of psychiatry,human,PMC8570983
34818058,Hippocampal cAMP regulates HCN channel function on two time scales with differential effects on animal behavior.,2021,Science translational medicine,animal,PMC9196047
34439743,A Runner's High for New Neurons? Potential Role for Endorphins in Exercise Effects on Adult Neurogenesis.,2021,Biomolecules,review,PMC8392752
34409523,"Therapeutic Potential of Curcumin in Reversing the Depression and Associated Pseudodementia via Modulating Stress Hormone, Hippocampal Neurotransmitters, and BDNF Levels in Rats.",2021,Neurochemical research,animal,
34416346,Sub-regional hippocampal volumes in first-episode drug-naïve major depression disorder.,2021,Neuroscience letters,human,
34416848,Individualized diagnosis of major depressive disorder via multivariate pattern analysis of thalamic sMRI features.,2021,BMC psychiatry,human,PMC8377985
34418500,Maternal diet before and during pregnancy modulates microglial activation and neurogenesis in the postpartum rat brain.,2021,"Brain, behavior, and immunity",animal,
34419429,Brain-derived neurotrophic factor upregulates synaptic GluA1 in the amygdala to promote depression in response to psychological stress.,2021,Biochemical pharmacology,animal,
34419778,Volumetric alterations in subregions of the amygdala in adults with major depressive disorder.,2021,Journal of affective disorders,human,
34425486,Ventromedial and insular cortical volume moderates the relationship between BDNF Val66Met and threat sensitivity.,2021,Journal of psychiatric research,human,PMC9526516
34425489,Prospective study on resting state functional connectivity in adolescents with major depressive disorder after antidepressant treatment.,2021,Journal of psychiatric research,human,
34431584,Shared and distinct brain fMRI response during performance of working memory tasks in adult patients with schizophrenia and major depressive disorder.,2021,Human brain mapping,meta_analysis,PMC8519858
34843287,"Neural mechanisms of prospection in individuals with schizotypal traits, autistic traits, or depressive symptoms.",2021,Journal of abnormal psychology,human,
33834396,Development of Neuroimaging-Based Biomarkers in Major Depression.,2021,Advances in experimental medicine and biology,review,
33621611,Association of electroconvulsive therapy-induced structural plasticity with clinical remission.,2021,Progress in neuro-psychopharmacology & biological psychiatry,human,
33832707,Socioeconomic Disparities Affect Children's Amygdala-Prefrontal Circuitry via Stress Hormone Response.,2021,Biological psychiatry,human,
33215390,"Ginsenoside Rg1 Prevents PTSD-Like Behaviors in Mice Through Promoting Synaptic Proteins, Reducing Kir4.1 and TNF-α in the Hippocampus.",2021,Molecular neurobiology,animal,PMC7676862
33219358,miR-323a regulates ERBB4 and is involved in depression.,2021,Molecular psychiatry,animal,
33221476,Common and distinct patterns of gray matter alterations in borderline personality disorder and posttraumatic stress disorder: A dual meta-analysis.,2021,Neuroscience letters,meta_analysis,
33221716,Bridging Anxiety and Depression: A Network Approach in Anxious Adolescents.,2021,Journal of affective disorders,human,PMC7744436
33230848,Minocycline prevents depression-like behavior in streptozotocin-induced diabetic mice.,2021,Neuropathology : official journal of the Japanese Society of Neuropathology,animal,
33238045,Relationship between neural responses to stress and mental health symptoms in psychogenic nonepileptic seizures after traumatic brain injury.,2021,Epilepsia,human,
33833851,Low-Dose Copper Exposure Exacerbates Depression-Like Behavior in ApoE4 Transgenic Mice.,2021,Oxidative medicine and cellular longevity,animal,PMC8018851
33242526,Hippocampal LASP1 ameliorates chronic stress-mediated behavioral responses in a mouse model of unpredictable chronic mild stress.,2021,Neuropharmacology,animal,
33248165,Antidepressant-like effects of 1-methylnicotinamide in a chronic unpredictable mild stress model of depression.,2021,Neuroscience letters,animal,
33248184,The antidepressant-like effects of the water extract of Panax ginseng and Polygala tenuifolia are mediated via the BDNF-TrkB signaling pathway and neurogenesis in the hippocampus.,2021,Journal of ethnopharmacology,animal,
33249333,Increase in serum prolactin levels in females improves the performance of spatial learning by promoting changes in the circuital dynamics of the hippocampus.,2021,Psychoneuroendocrinology,animal,
33251575,Hippocampal volume and memory impairment after electroconvulsive therapy in patients with depression.,2021,Acta psychiatrica Scandinavica,human,
33252146,Probabilistic Mapping of Deep Brain Stimulation: Insights from 15 Years of Therapy.,2021,Annals of neurology,human,
33253785,Early molecular alterations in anterior cingulate cortex and hippocampus in a rodent model of neuropathic pain.,2021,Brain research bulletin,animal,
33273705,Distinct cortical thickness correlates of early life trauma exposure and posttraumatic stress disorder are shared among adolescent and adult females with interpersonal violence exposure.,2021,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,human,PMC8027669
33276022,Whole body vibration training improves depression-like behaviors in a rat chronic restraint stress model.,2021,Neurochemistry international,animal,
33276033,Antidepressant-like activity of L-701324 in mice: A behavioral and neurobiological characterization.,2021,Behavioural brain research,animal,
33212086,Non-selective orexin-receptor antagonist attenuates stress-re-stress-induced core PTSD-like symptoms in rats: Behavioural and neurochemical analyses.,2021,Behavioural brain research,animal,
33276034,The moderating role of sensory processing sensitivity in the link between stress and depression: A VBM study.,2021,Neuropsychologia,human,
33205889,Altered functional connectivity of the amygdala and its subregions in typhoon-related post-traumatic stress disorder.,2021,Brain and behavior,human,PMC7821579
33202340,Identification of suicidality in adolescent major depressive disorder patients using sMRI: A machine learning approach.,2021,Journal of affective disorders,human,
33137473,Deep brain stimulation for psychiatric disorders: From focal brain targets to cognitive networks.,2021,NeuroImage,review,PMC7802517
33146738,"Rottlerin, BDNF, and the impairment of inhibitory avoidance memory.",2021,Psychopharmacology,animal,
33151288,PI3K-Akt Signaling in the Basolateral Amygdala Facilitates Traumatic Stress Enhancements in Fear Memory.,2021,The international journal of neuropsychopharmacology,animal,PMC7968623
33152386,"Chronic central modulation of LPA/LPA receptors-signaling pathway in the mouse brain regulates cognition, emotion, and hippocampal neurogenesis.",2021,Progress in neuro-psychopharmacology & biological psychiatry,animal,
33164996,The α1-adrenergic receptors in the amygdala regulate the induction of learned despair through protein kinase C-beta signaling.,2021,Behavioural pharmacology,animal,
33168198,The environment contributes more than genetics to smaller hippocampal volume in Posttraumatic Stress Disorder (PTSD).,2021,Journal of psychiatric research,human,PMC8345282
33169678,Cortisol-dehydroepiandrosterone ratios are inversely associated with hippocampal and prefrontal brain volume in schizophrenia.,2021,Psychoneuroendocrinology,human,
33176182,Minocycline alleviates depression-like symptoms by rescuing decrease in neurogenesis in dorsal hippocampus via blocking microglia activation/phagocytosis.,2021,"Brain, behavior, and immunity",animal,
33186796,Induced pluripotent stem cell-derived neural progenitor cell transplantation promotes regeneration and functional recovery after post-traumatic stress disorder in rats.,2021,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,animal,
33188393,Dorsal Hippocampus to Infralimbic Cortex Circuit is Essential for the Recall of Extinction Memory.,2021,"Cerebral cortex (New York, N.Y. : 1991)",animal,
33190083,Metabolomic analysis of the hippocampus in a rat model of chronic mild unpredictable stress-induced depression based on a pathway crosstalk and network module approach.,2021,Journal of pharmaceutical and biomedical analysis,animal,
33190845,Transcription Factor TWIST1 Integrates Dendritic Remodeling and Chronic Stress to Promote Depressive-like Behaviors.,2021,Biological psychiatry,animal,
33196833,Stimulus-Based Extinction Generalization: Neural Correlates and Modulation by Cortisol.,2021,The international journal of neuropsychopharmacology,human,PMC8059492
33197455,The chronic effect of cortisol on orchestrating cerebral blood flow and brain functional connectivity: evidence from Cushing's disease.,2021,Metabolism: clinical and experimental,human,
33197456,Chronic sleep disruption induces depression-like behavior in adolescent male and female mice and sensitization of the hypothalamic-pituitary-adrenal axis in adolescent female mice.,2021,Behavioural brain research,animal,
33197507,A multimetric systematic review of fMRI findings in patients with MDD receiving ECT.,2021,Progress in neuro-psychopharmacology & biological psychiatry,review,
33200454,Brain iron deficiency and affected contextual fear memory in mice with conditional Ferroportin1 ablation in the brain.,2021,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,animal,
33205508,Behavioral and neurological improvement by Cydonia oblonga fruit extract in chronic immobilization stress rats.,2021,Phytotherapy research : PTR,animal,
33279261,Do increases in deep grey matter volumes after electroconvulsive therapy persist in patients with major depression? A longitudinal MRI-study.,2021,Journal of affective disorders,human,
33279466,"Anti-depressant effect of cerebrolysin in reserpine-induced depression in rats: Behavioral, biochemical, molecular and immunohistochemical evidence.",2021,Chemico-biological interactions,animal,
33285264,Identification of specific neural circuit underlying the key cognitive deficit of remitted late-onset depression: A multi-modal MRI and machine learning study.,2021,Progress in neuro-psychopharmacology & biological psychiatry,human,
33359233,"Linking atypical depression and insulin resistance-related disorders via low-grade chronic inflammation: Integrating the phenotypic, molecular and neuroanatomical dimensions.",2021,"Brain, behavior, and immunity",review,
33359461,Do different types of stress differentially alter behavioural and neurobiological outcomes associated with depression in rodent models? A systematic review.,2021,Frontiers in neuroendocrinology,review,
33360031,Biological correlates of early life stressful events in major depressive disorder.,2021,Psychoneuroendocrinology,review,
33360748,Cerebral amyloid accumulation is associated with distinct structural and functional alterations in the brain of depressed elders with mild cognitive impairment.,2021,Journal of affective disorders,human,
33369799,Shame on the brain: Neural correlates of moral injury event recall in posttraumatic stress disorder.,2021,Depression and anxiety,human,
33370569,Fronto-limbic neuroimaging biomarkers for diagnosis and prediction of treatment responses in major depressive disorder.,2021,Progress in neuro-psychopharmacology & biological psychiatry,review,
33382162,Alteration of single-subject gray matter networks in major depressed patients with suicidality.,2021,Journal of magnetic resonance imaging : JMRI,human,
33385788,"Characterizing the impact of adversity, abuse, and neglect on adolescent amygdala resting-state functional connectivity.",2021,Developmental cognitive neuroscience,human,PMC7786040
33385828,Electrophysiological scarring in remitted depressed patients: Elevated EEG functional connectivity between the posterior cingulate cortex and the subgenual prefrontal cortex as a neural marker for rumination.,2021,Journal of affective disorders,human,
33386283,Smaller Regional Brain Volumes Predict Posttraumatic Stress Disorder at 3 Months After Mild Traumatic Brain Injury.,2021,Biological psychiatry. Cognitive neuroscience and neuroimaging,human,PMC7946719
33388293,Resting-State Directional Connectivity and Anxiety and Depression Symptoms in Adult Cannabis Users.,2021,Biological psychiatry. Cognitive neuroscience and neuroimaging,human,PMC8968690
33389726,Development and treatment of cognitive inflexibility in sub-chronic stress-re-stress (SRS) model of PTSD.,2021,Pharmacological reports : PR,animal,
33392910,The Antidepressant Effects of Resveratrol are Accompanied by the Attenuation of Dendrite/Dendritic Spine Loss and the Upregulation of BDNF/p-cofilin1 Levels in Chronic Restraint Mice.,2021,Neurochemical research,animal,
33393466,Brain Activation during Memory Retrieval is Associated with Depression Severity in Women.,2021,Psychiatry research. Neuroimaging,human,PMC7783190
33394285,Ursolic acid abrogates depressive-like behavior and hippocampal pro-apoptotic imbalance induced by chronic unpredictable stress.,2021,Metabolic brain disease,animal,
33400944,The group II mGlu receptor antagonist LY341495 induces a rapid antidepressant-like effect and enhances the effect of ketamine in the chronic unpredictable mild stress model of depression in C57BL/6J mice.,2021,Progress in neuro-psychopharmacology & biological psychiatry,animal,
33403669,Exploring valence bias as a metric for frontoamygdalar connectivity and depressive symptoms in childhood.,2021,Developmental psychobiology,human,PMC8255333
33359153,Differential Effects of Early Adversity and Posttraumatic Stress Disorder on Amygdala Reactivity: The Role of Developmental Timing.,2021,Biological psychiatry. Cognitive neuroscience and neuroimaging,human,
33351672,Grey matter volume abnormalities in the first depressive episode of medication-naïve adult individuals: a systematic review of voxel based morphometric studies.,2021,International journal of psychiatry in clinical practice,meta_analysis,
33349712,Transcriptomic organization of the human brain in post-traumatic stress disorder.,2021,Nature neuroscience,human,
33348194,A systematic review of neuroimaging studies of depression in adults with epilepsy.,2021,Epilepsy & behavior : E&B,review,
33290797,Memantine treatment exerts an antidepressant-like effect by preventing hippocampal mitochondrial dysfunction and memory impairment via upregulation of CREB/BDNF signaling in the rat model of chronic unpredictable stress-induced depression.,2021,Neurochemistry international,animal,
33290927,Acetate supplementation produces antidepressant-like effect via enhanced histone acetylation.,2021,Journal of affective disorders,animal,
33296139,Structural abnormalities of cingulate cortex in patients with first-episode drug-naïve schizophrenia comorbid with depressive symptoms.,2021,Human brain mapping,human,PMC7978138
31285123,Application of transcranial magnetic stimulation for major depression: Coil design and neuroanatomical variability considerations.,2021,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,review,
33301616,Glucocorticoid-mediated mechanisms of hippocampal damage: Contribution of subgranular neurogenesis.,2021,Journal of neurochemistry,review,
33301816,The alteration of cognitive function networks in remitted patients with major depressive disorder: an independent component analysis.,2021,Behavioural brain research,human,
33302237,Adult neurogenesis augmentation attenuates anhedonia and HPA axis dysregulation in a mouse model of chronic stress and depression.,2021,Psychoneuroendocrinology,animal,PMC8715720
33309459,Gray matter volume of rostral anterior cingulate cortex predicts rapid antidepressant response to ketamine.,2021,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,human,
33131185,Neurobiological predictors for clinical trajectories in fully remitted depressed patients.,2021,Depression and anxiety,human,PMC8048641
33314765,Changes in the anterior cingulate cortex in Crohn's disease: A neuroimaging perspective.,2021,Brain and behavior,review,PMC7994700
33316764,"Reduced anxiety and changes in amygdala network properties in adolescents with training for awareness, resilience, and action (TARA).",2021,NeuroImage. Clinical,human,PMC7735968
33328636,Antidepressant actions of ketamine engage cell-specific translation via eIF4E.,2021,Nature,animal,
33333214,Long term effects of early life stress on HPA circuit in rodent models.,2021,Molecular and cellular endocrinology,review,
33333316,Ketamine anesthesia enhances fear memory consolidation via noradrenergic activation in the basolateral amygdala.,2021,Neurobiology of learning and memory,animal,
33333379,Effects of prenatal stress on behavioural and neurodevelopmental outcomes are altered by maternal separation in the neonatal period.,2021,Psychoneuroendocrinology,animal,
33340793,Effects of chronic stress on depressive-like behaviors and JMJD3 expression in the prefrontal cortex and hippocampus of C57BL/6 and ob/ob mice.,2021,Journal of psychiatric research,animal,
33341012,Reduced postpartum hippocampal volume is associated with positive mother-infant caregiving behavior.,2021,Journal of affective disorders,human,PMC8950103
33348179,Hippocampal subregion volume in high-risk offspring is associated with increases in depressive symptoms across the transition to adolescence.,2021,Journal of affective disorders,human,PMC7856102
33315100,Hippocampal subfield alterations in pediatric patients with post-traumatic stress disorder.,2021,Social cognitive and affective neuroscience,human,PMC7943370
33403894,Altered Effective Connectivity within the Fronto-Limbic Circuitry in Response to Negative Emotional Task in Female Patients with Major Depressive Disorder.,2021,Brain connectivity,human,
33125770,The imprint of childhood adversity on emotional processing in high functioning young adults.,2021,Human brain mapping,human,PMC7814751
33109036,Electroacupuncture Ameliorates CUMS-induced Depression-like Behavior: Involvement of the Glutamatergic System and Apoptosis in Rats.,2021,Combinatorial chemistry & high throughput screening,animal,
32346865,Palmitoylethanolamide counteracts brain fog improving depressive-like behaviour in obese mice: Possible role of synaptic plasticity and neurogenesis.,2021,British journal of pharmacology,animal,
32366351,Reappraisal-related neural predictors of treatment response to cognitive behavior therapy for post-traumatic stress disorder.,2021,Psychological medicine,human,
32385741,Longitudinal effects of rTMS on neuroplasticity in chronic treatment-resistant depression.,2021,European archives of psychiatry and clinical neuroscience,human,PMC7867550
32476629,Neuronal network mechanisms associated with depressive symptom improvement following electroconvulsive therapy.,2021,Psychological medicine,human,PMC8640363
32534177,Group II metabotropic glutamate receptor activation in the basolateral amygdala mediates individual differences in stress-induced changes in rapid eye movement sleep.,2021,Progress in neuro-psychopharmacology & biological psychiatry,animal,PMC7483570
32542515,Task-related functional magnetic resonance imaging-based neuronavigation for the treatment of depression by individualized repetitive transcranial magnetic stimulation of the visual cortex.,2021,Science China. Life sciences,human,
32640854,Modulation of the prefrontal blood oxygenation response to intermittent theta-burst stimulation in depression: A sham-controlled study with functional near-infrared spectroscopy.,2021,The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,human,
32663830,Activation and Blockade of Serotonin-4 Receptors in the Lateral Habenula Produce Antidepressant Effects in the Hemiparkinsonian Rat.,2021,Neuropsychobiology,animal,
32666403,Is postnatal depression a distinct subtype of major depressive disorder? An exploratory study.,2021,Archives of women's mental health,human,PMC7979595
32677044,"Distribution and overlap of entorhinal, premotor, and amygdalar connections in the monkey anterior cingulate cortex.",2021,The Journal of comparative neurology,animal,PMC8214921
32680763,Cortical Thickness of the Salience Network and Change in Apathy Following Antidepressant Treatment for Late-Life Depression.,2021,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,human,PMC7738363
32709996,"Adult-born neurons from the dorsal, intermediate, and ventral regions of the longitudinal axis of the hippocampus exhibit differential sensitivity to glucocorticoids.",2021,Molecular psychiatry,animal,
32710912,Prefrontal-hippocampus plasticity reinstated by an enriched environment during stress.,2021,Neuroscience research,animal,
32730916,Volume of hippocampal subregions and clinical improvement following electroconvulsive therapy in patients with depression.,2021,Progress in neuro-psychopharmacology & biological psychiatry,human,
32736358,Neurostimulation for treatment-resistant posttraumatic stress disorder: an update on neurocircuitry and therapeutic targets.,2021,Journal of neurosurgery,review,
32737826,Neurobiological effects of perceived stress are different between adolescents and middle-aged adults.,2021,Brain imaging and behavior,human,PMC8032601
32741703,Subcallosal Cingulate Structural Connectivity Differs in Responders and Nonresponders to Electroconvulsive Therapy.,2021,Biological psychiatry. Cognitive neuroscience and neuroimaging,human,
32342260,The dissociative subtype of posttraumatic stress disorder is associated with subcortical white matter network alterations.,2021,Brain imaging and behavior,human,PMC8032639
32750139,"Resting-State Function Connectivity Associated With Being a ""Morning-Type"" Dementia Caregiver and Having Lower Depression Symptom Severity.",2021,"The journals of gerontology. Series B, Psychological sciences and social sciences",human,PMC8200349
32333305,miR-132 Regulates PTSD-like Behaviors in Rats Following Single-Prolonged Stress Through Fragile X-Related Protein 1.,2021,Cellular and molecular neurobiology,animal,PMC11448684
32317715,"FAM19A5/TAFA5, a novel neurokine, plays a crucial role in depressive-like and spatial memory-related behaviors in mice.",2021,Molecular psychiatry,animal,
31747562,Astrocytic plasticity at the dorsal dentate gyrus on an animal model of recurrent depression.,2021,Neuroscience,animal,
31907081,Abnormal reward valuation and event-related connectivity in unmedicated major depressive disorder.,2021,Psychological medicine,human,
31907095,Distinct neural mechanisms of emotional processing in prolonged grief disorder.,2021,Psychological medicine,human,
31910918,The distinctive neural circuitry of complex posttraumatic stress disorder during threat processing.,2021,Psychological medicine,human,
31983347,Decreased functional connectivity of hippocampal subregions and methylation of the <i>NR3C1</i> gene in Han Chinese adults who lost their only child.,2021,Psychological medicine,human,PMC7938667
31985079,The effect of deoxyschizandrin on chronic unpredictable mild stress-induced depression.,2021,Biotechnology and applied biochemistry,animal,
31993746,ACC Glu/GABA ratio is decreased in euthymic bipolar disorder I patients: possible in vivo neurometabolite explanation for mood stabilization.,2021,European archives of psychiatry and clinical neuroscience,human,
32029885,Hippocampal subregions and networks linked with antidepressant response to electroconvulsive therapy.,2021,Molecular psychiatry,human,PMC7415508
32052123,The resting-state functional connectivity of amygdala subregions associated with post-traumatic stress symptom and sleep quality in trauma survivors.,2021,European archives of psychiatry and clinical neuroscience,human,
32063231,Emotional recognition training modifies neural response to emotional faces but does not improve mood in healthy volunteers with high levels of depressive symptoms.,2021,Psychological medicine,human,
32096757,Parents still matter! Parental warmth predicts adolescent brain function and anxiety and depressive symptoms 2 years later.,2021,Development and psychopathology,human,PMC7483163
32150310,Neuroinflammation and depression: A review.,2021,The European journal of neuroscience,review,
32151293,Sub-regional anterior cingulate cortex functional connectivity revealed default network subsystem dysfunction in patients with major depressive disorder.,2021,Psychological medicine,human,
32203159,Programmed cell death 4 as an endogenous suppressor of BDNF translation is involved in stress-induced depression.,2021,Molecular psychiatry,animal,PMC8440200
32279144,Differential neural processing of unpleasant sensory stimulation in patients with major depression.,2021,European archives of psychiatry and clinical neuroscience,human,PMC7981307
32286496,Environmental enrichment rescues survival and function of adult-born neurons following early life stress.,2021,Molecular psychiatry,animal,
32306793,"Altered D2 receptor and transcription factor EB expression in offspring of aggressive male rats, along with having depressive and anxiety-like behaviors.",2021,The International journal of neuroscience,animal,
32329707,Chronic Royal Jelly Administration Induced Antidepressant-Like Effects Through Increased Sirtuin1 and Oxidative Phosphorylation Protein Expression in the Amygdala of Mice.,2021,Current molecular pharmacology,animal,
32754912,"Material hardship, prefrontal cortex-amygdala structure, and internalizing symptoms in children.",2021,Developmental psychobiology,human,PMC7858699
